,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
36358,Rajasthan Royals,Kolkata Knight Riders,Jaipur,125,23,6,7.731958762886598,50.0,164
16451,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah,83,42,6,6.384615384615385,39.0,120
49387,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,164,16,7,9.461538461538462,58.0,195
55240,Rajasthan Royals,Kolkata Knight Riders,Mumbai,83,73,9,10.595744680851064,52.0,199
18321,Mumbai Indians,Kings XI Punjab,Dubai,96,37,6,6.9397590361445785,36.0,176
7216,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,54,72,9,6.75,42.0,164
26575,Kings XI Punjab,Kolkata Knight Riders,Durban,91,49,7,7.690140845070423,43.0,158
1838,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,105,29,6,6.923076923076923,41.0,158
22094,Royal Challengers Bangalore,Mumbai Indians,Dubai,195,1,7,9.831932773109244,73.0,201
14238,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,150,13,5,8.411214953271028,42.0,183
53170,Chennai Super Kings,Kolkata Knight Riders,Chennai,55,78,9,7.857142857142857,44.0,134
41295,Kolkata Knight Riders,Chennai Super Kings,Kolkata,80,46,6,6.486486486486487,30.0,119
43816,Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,142,5,3,7.408695652173913,52.0,150
43424,Mumbai Indians,Kolkata Knight Riders,Mumbai,120,23,8,7.422680412371134,42.0,170
4068,Chennai Super Kings,Rajasthan Royals,Pune,164,25,6,10.357894736842105,38.0,204
9267,Kolkata Knight Riders,Delhi Capitals,Delhi,171,5,3,8.921739130434782,68.0,185
17289,Chennai Super Kings,Delhi Capitals,Sharjah,44,77,9,6.1395348837209305,41.0,179
40313,Kings XI Punjab,Chennai Super Kings,Chandigarh,91,45,7,7.28,33.0,138
40693,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,35,8,7.411764705882353,36.0,180
28048,Kolkata Knight Riders,Royal Challengers Bangalore,Centurion,76,54,8,6.909090909090909,38.0,173
23244,Kings XI Punjab,Mumbai Indians,Chandigarh,55,85,9,9.428571428571429,53.0,182
52929,Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,67,70,8,8.04,42.0,150
21553,Delhi Capitals,Rajasthan Royals,Dubai,98,45,7,7.84,41.0,161
11676,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,71,70,7,8.52,51.0,155
